frecuencia_cardiaca,potencia,cadencia,tiempo,temperatura,pendiente,velocidad,fatiga
141,175,64,163.08866721130437,21.830959714550506,-2.3415093251413848,21.937396494475067,42.18
182,253,65,118.16636084550359,26.4824271529136,9.502523597862059,19.61529554797935,53.68
104,243,85,126.30566200496183,32.40627148407468,-4.209490030518887,22.47596320017122,47.45
161,185,63,14.02926616527425,31.464727212978232,5.5348904833900665,20.241902604198174,41.12
150,284,78,122.23555629625686,25.63702397456003,4.5538784069357146,11.231601986417914,53.29
110,384,79,12.72895159926753,34.671802564511744,0.8806476075288021,48.861321695623545,38.6
172,319,92,107.94615746973794,22.925862746141,0.3582218586551029,18.82981953811127,59.96
176,168,79,179.8868624240211,36.90142869520367,8.121581345087563,39.36119050357225,63.23
164,146,108,102.26615175150644,12.138408101654917,-3.53078161703671,40.50385578776701,43.59
164,193,71,87.81177066423335,38.63980090099922,-0.9746667417064483,47.17029592028917,60.15
177,337,106,59.74959988847782,29.640792442940445,7.451628441247527,11.221978283735199,54.3
189,303,60,26.091451287631276,21.402235268116158,4.321449923349212,44.88193353788031,39.91
113,317,85,132.92914250519928,15.91462379718632,-2.8242004549290316,31.08904723359201,50.02
92,440,73,38.704829862485326,24.375496883307996,9.996305442795022,35.30176439863311,51.33
111,138,97,25.174353718274766,15.836749695559028,1.6886133915810566,35.77881108484135,23.77
142,199,96,78.8084654528397,14.989948232294264,9.073762380476937,42.7919121993891,45.6
91,388,70,144.18482164284205,28.520552722389226,8.391121263971048,23.33629288636442,55.55
177,353,95,135.38629592103857,25.69254173745354,5.615232590019376,39.322047594399734,51.34
119,321,72,14.604457563133112,30.10288103832825,3.40617923201658,31.143124388887884,43.42
127,122,102,84.65014488132732,37.888176322659675,11.652364286489867,41.735760572213906,43.21
91,349,62,96.42605081245456,25.967806400171206,-2.5355937695431106,49.62184131080534,60.01
153,109,92,117.79566385951888,27.427961597883932,7.327647368368952,18.02604069615045,50.16
149,345,65,118.77928632756493,12.688790174648263,-1.7497580750985868,49.78594566239992,62.73
110,424,109,68.82201865502853,31.529073577258885,0.7504727906499227,13.59248617131096,60.88
122,199,69,103.11850895061495,21.997156204124686,0.24787863734431959,10.092701916192555,49.21
165,389,64,89.18582967271513,39.30175715987737,11.099611791558292,11.76647744711325,69.99
147,279,82,159.87471239157418,34.69522046786981,11.445055022400677,23.671296189470468,62.38
111,322,69,97.79639821110753,25.67443121548355,-1.8887374480096382,35.316253227137366,41.25
178,349,103,82.18062830592828,13.696679625164982,-4.625402274942429,12.761181635513985,61.85
138,246,61,75.78495369432387,35.78247379841767,7.240136674272923,10.226632581182692,56.87
180,195,72,105.1748579008565,33.99343286272065,2.1058288757982337,47.48364113835179,55.43
148,356,99,145.69597139515707,15.53755388611099,-3.4897158335114056,42.87706543759719,45.05
131,424,61,99.22026081663782,18.858348676609303,6.623819794809723,42.367326845561244,65.18
181,103,79,120.78965563909476,33.80221774443512,4.2667939804318955,45.37697102007908,26.58
149,115,60,134.12475920864188,15.55685339642229,11.668785974018803,38.00137091088418,42.38
169,379,96,96.02941922877807,37.53257467514132,-1.1340385703565583,14.176165189923257,59.94
104,435,68,79.69298491460127,22.735822755890858,1.8676238975513204,25.964007522948922,82.51
151,346,76,158.41644112592866,12.611168877629758,4.22327865772219,38.92597945858518,63.14
151,357,68,78.06356470488112,34.472459305128424,8.458899803706979,21.213378431660836,73.19
136,259,70,85.83999885072782,21.20529049115163,4.330257164240997,37.496254565449505,74.93
151,439,74,178.30972983481098,25.79497582461343,5.419302734653137,10.979937930706093,65.7
140,251,83,5.041566625779802,13.369130332336574,-1.1555001229710071,22.245493635183728,48.06
144,277,97,37.457759175926434,10.077520445349471,9.397618377505518,31.965213451086907,33.17
153,262,94,72.193680735952,29.13955617379893,2.286719298498088,35.28359318024969,56.18
92,132,89,168.20323414941925,25.455255110011947,-2.6036863321299224,33.08162657847643,58.9
140,278,90,17.255198505807428,27.806157073694415,6.291194546592095,37.910251042937176,40.88
96,200,108,6.659950884987163,33.81231551141549,-1.3264622958497725,10.243549929593563,26.39
110,367,64,14.219671296015003,29.398177402685803,-3.3414373259319046,14.037647999100859,52.33
162,422,103,20.495096857383174,15.243203284821316,9.653777442872629,44.7577700911658,87.39
128,164,109,11.579435311095652,20.823175573317997,2.822758496303474,37.26994576360645,44.05
107,267,73,88.96173219988833,37.17673314363281,7.737823115828199,14.517265707440451,40.15
93,429,70,106.63251126478235,33.09834100755037,-0.06001148329196315,43.68297749594317,79.78
178,142,68,52.545219937075714,26.699111738101518,8.378492293600328,19.689248712982675,23.8
149,143,93,74.70029219573622,17.66934993427817,-3.0970892406339843,29.130395367808937,64.46
103,384,71,21.047383644500275,19.06181505504385,1.051547354512496,15.807860515386412,63.58
98,111,94,63.86483116997386,31.958742027569038,11.627050905549986,38.404402256868266,53.91
179,194,94,96.44085853604155,35.53522782558312,8.497825178256104,36.67417684057071,32.07
142,401,60,133.1475662573129,30.142740085918433,3.4533508153496992,18.44449884664545,70.53
91,352,99,5.585613357521364,34.28589927305325,0.7762170165520468,44.53603067428007,47.11
173,341,81,86.7793841440892,32.99968405601218,9.8263069003821,26.05224096878849,52.42
181,134,88,56.97550337960439,14.491119038708732,4.262411904436766,21.700603642829673,25.23
149,314,67,154.24381879608273,22.71834438739906,7.893225303774889,16.093183578581417,68.15
160,436,70,130.22183016599234,14.58951402485688,7.819830565374788,20.646720500621498,78.55
133,189,100,108.0939935324066,17.057067544059542,-4.694923464335639,10.88107684895268,59.34
97,363,96,53.52148799693538,36.07778873953158,-2.853685692525571,33.33029969824462,47.84
136,192,73,164.3093428600685,24.186758968995463,6.2136992287106185,43.689229853757915,46.41
124,189,89,12.892618513556556,26.060743055279826,-2.2524632081401856,31.959217977665674,20.25
